return-date	order-id	sku	asin	fnsku
2016-08-31	106-4008324-2697016	C40 A6 8GB 1TB	B011HNTGVC	X0014AWUCH
2016-08-30	105-4969802-9534609	Ideapad 700	B01FJFN8T0	X00159M9BT
2016-08-29	104-3239660-9727427	Acer C810-T7ZT	B00X5X4230	X0016AKBK3
2016-08-29	108-2557403-3226610	HP Stream 11-r010nr	B015CQ8SGE	X0016BLP39
2016-08-28	102-5956966-3007444	L55W-C5280-T	B01CCCXWRQ	X0013NSCCR
2016-08-28	110-8284062-8121025	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-27	110-3418532-0184268	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-26	115-4306959-4102661	Dell&nbsp;i5559-4013SLV-T	B01DY9GSEK	X0013KQ7ZJ
2016-08-26	107-7982005-1929842	HP Pavilion 510-p030	B01F5LWOA2	X0015J4HQT
2016-08-26	112-8622735-7201849	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-24	110-3128820-3010666	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-23	113-3367093-6773804	Dell C1760nw	B00A7APX0A	X0015CM6YB
2016-08-20	106-7204835-9735419	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-19	110-8268161-5574634	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-15	113-5839323-2158661	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-15	102-0427780-6382652	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-14	114-0201444-6586652	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-13	106-1531441-2412265	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-12	106-6275468-6806669	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-11	102-1144738-3805005	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-11	109-9978757-1333803	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-09	103-5487779-6694604	HP Pavilion 510-p030	B01F5LWOA2	X0015J4HQT
2016-08-08	108-6620188-8297013	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-06	113-7872531-0389843	GH-50	B01CXHXJKK	X0013ANGIZ
